Fiscal Year,County,Number of Consummated Adoptions,Map ID
2016,Edwards,1,48137
2016,Ellis,15,48139
2016,El Paso,107,48141
2016,Erath,1,48143
2016,Falls,2,48145
2016,Fannin,5,48147
2016,Fayette,5,48149
2016,Fisher,0,48151
2016,Floyd,2,48153
2016,Foard,0,48155
2016,Fort Bend,23,48157
2016,Franklin,0,48159
2016,Freestone,0,48161
2016,Frio,19,48163
2016,Gaines,2,48165
2016,Galveston,56,48167
2016,Garza,1,48169
2016,Gillespie,3,48171
2016,Glasscock,0,48173
2016,Goliad,0,48175
2016,Gonzales,16,48177
2016,Gray,2,48179
2016,Grayson,35,48181
2016,Gregg,39,48183
2016,Grimes,2,48185
2016,Guadalupe,16,48187
2016,Hale,22,48189
2016,Hall,5,48191
2016,Hamilton,1,48193
2016,Hansford,3,48195
2016,Hardeman,0,48197
2016,Hardin,8,48199
2016,Harris,716,48201
2016,Harrison,16,48203
2016,Hartley,0,48205
2016,Haskell,0,48207
2016,Hays,40,48209
2016,Hemphill,0,48211
2016,Henderson,45,48213
2016,Hidalgo,33,48215
2016,Hill,21,48217
2016,Hockley,8,48219
2016,Hood,13,48221
2016,Hopkins,14,48223
2016,Houston,3,48225
2016,Howard,23,48227
2016,Hudspeth,0,48229
2016,Hunt,74,48231
2016,Hutchinson,8,48233
2016,Irion,0,48235
2016,Jack,0,48237
2016,Jackson,6,48239
2016,Jasper,9,48241
2016,Jeff Davis,0,48243
2016,Jefferson,63,48245
2016,Jim Hogg,5,48247
2016,Jim Wells,11,48249
2016,Johnson,34,48251
2016,Jones,1,48253
2016,Karnes,15,48255
2016,Kaufman,32,48257
2016,Kendall,5,48259
2016,Kenedy,0,48261
2016,Kent,0,48263
2016,Kerr,29,48265
2016,Kimble,1,48267
2016,King,0,48269
2016,Kinney,0,48271
2016,Kleberg,2,48273
2016,Knox,0,48275
2016,Lamar,5,48277
2016,Lamb,11,48279
2016,Lampasas,2,48281
2016,La Salle,0,48283
2016,Lavaca,3,48285
2016,Lee,10,48287
2016,Leon,3,48289
2016,Liberty,10,48291
2016,Limestone,0,48293
2016,Lipscomb,0,48295
2016,Live Oak,5,48297
2016,Llano,8,48299
2016,Loving,0,48301
2016,Lubbock,204,48303
2016,Lynn,2,48305
2016,Mcculloch,0,48307
2016,Mclennan,0,48309
2016,Mcmullen,0,48311
2016,Madison,0,48313
2016,Marion,0,48315
2016,Martin,0,48317
2016,Mason,0,48319
2016,Matagorda,3,48321
2016,Maverick,1,48323
2016,Medina,21,48325
2016,Menard,0,48327
2016,Midland,30,48329
2016,Milam,15,48331
2016,Mills,0,48333
2016,Mitchell,0,48335
2016,Montague,3,48337
2016,Montgomery,88,48339
2016,Moore,0,48341
2016,Morris,3,48343
2016,Motley,0,48345
2016,Nacogdoches,29,48347
2016,Navarro,10,48349
2016,Newton,0,48351
2016,Nolan,1,48353
2016,Nueces,53,48355
2016,Ochiltree,0,48357
2016,Oldham,0,48359
2016,Orange,28,48361
2016,Palo Pinto,12,48363
2016,Panola,0,48365
2016,Parker,55,48367
2016,Parmer,3,48369
2016,Pecos,0,48371
2016,Polk,5,48373
2016,Potter,73,48375
2016,Presidio,0,48377
2016,Rains,12,48379
2016,Randall,46,48381
2016,Reagan,2,48383
2016,Real,0,48385
2016,Red River,3,48387
2016,Reeves,2,48389
2016,Refugio,0,48391
2016,Roberts,0,48393
2016,Robertson,1,48395
2016,Rockwall,11,48397
2016,Runnels,3,48399
2016,Rusk,9,48401
2016,Sabine,2,48403
2016,San Augustine,2,48405
2016,San Jacinto,3,48407
2016,San Patricio,21,48409
2016,San Saba,10,48411
2016,Schleicher,0,48413
2016,Scurry,1,48415
2016,Shackelford,0,48417
2016,Shelby,5,48419
2016,Sherman,1,48421
2016,Smith,60,48423
2016,Somervell,0,48425
2016,Starr,2,48427
2016,Stephens,0,48429
2016,Sterling,0,48431
2016,Stonewall,0,48433
2016,Sutton,0,48435
2016,Swisher,2,48437
2016,Tarrant,278,48439
2016,Taylor,32,48441
2016,Terrell,0,48443
2016,Terry,6,48445
2016,Throckmorton,0,48447
2016,Titus,4,48449
2016,Tom Green,80,48451
2016,Travis,263,48453
2016,Trinity,2,48455
2016,Tyler,1,48457
2016,Upshur,9,48459
2016,Upton,3,48461
2016,Uvalde,10,48463
2016,Val Verde,4,48465
2016,Van Zandt,26,48467
2016,Victoria,24,48469
2016,Walker,9,48471
2016,Waller,4,48473
2016,Ward,1,48475
